experiment,condition,case,passed
peer_code,shared_r1,cirq_01,1
peer_code,masked_r1,cirq_01,1
peer_code,shared_r2,cirq_01,1
peer_code,masked_r2,cirq_01,1
peer_code,shared_r1,cirq_02,1
peer_code,masked_r1,cirq_02,1
peer_code,shared_r2,cirq_02,1
peer_code,masked_r2,cirq_02,1
peer_code,shared_r1,cirq_03,1
peer_code,masked_r1,cirq_03,1
peer_code,shared_r2,cirq_03,1
peer_code,masked_r2,cirq_03,1
peer_code,shared_r1,cirq_04,1
peer_code,masked_r1,cirq_04,1
peer_code,shared_r2,cirq_04,1
peer_code,masked_r2,cirq_04,1
peer_code,shared_r1,cirq_06,1
peer_code,masked_r1,cirq_06,1
peer_code,shared_r2,cirq_06,1
peer_code,masked_r2,cirq_06,1
peer_code,shared_r1,cirq_07,1
peer_code,masked_r1,cirq_07,1
peer_code,shared_r2,cirq_07,1
peer_code,masked_r2,cirq_07,1
peer_code,shared_r1,cirq_08,0
peer_code,masked_r1,cirq_08,0
peer_code,shared_r2,cirq_08,0
peer_code,masked_r2,cirq_08,0
peer_code,shared_r1,cirq_09,1
peer_code,masked_r1,cirq_09,1
peer_code,shared_r2,cirq_09,1
peer_code,masked_r2,cirq_09,1
peer_code,shared_r1,cirq_10,1
peer_code,masked_r1,cirq_10,1
peer_code,shared_r2,cirq_10,1
peer_code,masked_r2,cirq_10,1
peer_code,shared_r1,cirq_11,1
peer_code,masked_r1,cirq_11,1
peer_code,shared_r2,cirq_11,1
peer_code,masked_r2,cirq_11,1
peer_code,shared_r1,cirq_12,1
peer_code,masked_r1,cirq_12,1
peer_code,shared_r2,cirq_12,1
peer_code,masked_r2,cirq_12,1
peer_code,shared_r1,cirq_13,1
peer_code,masked_r1,cirq_13,1
peer_code,shared_r2,cirq_13,1
peer_code,masked_r2,cirq_13,1
peer_code,shared_r1,cirq_14,1
peer_code,masked_r1,cirq_14,1
peer_code,shared_r2,cirq_14,1
peer_code,masked_r2,cirq_14,1
peer_code,shared_r1,cirq_15,1
peer_code,masked_r1,cirq_15,1
peer_code,shared_r2,cirq_15,1
peer_code,masked_r2,cirq_15,1
peer_code,shared_r1,cirq_16,1
peer_code,masked_r1,cirq_16,1
peer_code,shared_r2,cirq_16,1
peer_code,masked_r2,cirq_16,1
peer_code,shared_r1,cirq_17,1
peer_code,masked_r1,cirq_17,1
peer_code,shared_r2,cirq_17,1
peer_code,masked_r2,cirq_17,1
