condition,case,framework,task_id,passed,submissions
oneshot,cirq_01,cirq,01,1,1
oneshot,cirq_02,cirq,02,1,1
oneshot,cirq_03,cirq,03,0,1
oneshot,cirq_04,cirq,04,0,1
oneshot,cirq_06,cirq,06,1,1
oneshot,cirq_07,cirq,07,0,1
oneshot,cirq_08,cirq,08,0,1
oneshot,cirq_09,cirq,09,0,1
oneshot,cirq_10,cirq,10,0,1
oneshot,cirq_11,cirq,11,0,1
oneshot,cirq_12,cirq,12,1,1
oneshot,cirq_13,cirq,13,1,1
oneshot,cirq_14,cirq,14,1,1
oneshot,cirq_15,cirq,15,1,1
oneshot,cirq_16,cirq,16,1,1
oneshot,cirq_17,cirq,17,1,1
oneshot,cirq_18,cirq,18,1,1
oneshot,cirq_19,cirq,19,1,1
oneshot,cirq_20,cirq,20,0,1
oneshot,cirq_21,cirq,21,1,1
oneshot,cirq_22,cirq,22,1,1
oneshot,cirq_23,cirq,23,1,1
oneshot,cirq_24,cirq,24,1,1
oneshot,cirq_25,cirq,25,0,1
oneshot,cirq_26,cirq,26,0,1
oneshot,cirq_27,cirq,27,1,1
oneshot,cirq_28,cirq,28,1,1
oneshot,cirq_29,cirq,29,0,1
oneshot,cirq_30,cirq,30,1,1
oneshot,cirq_31,cirq,31,0,1
oneshot,cirq_32,cirq,32,1,1
oneshot,cirq_33,cirq,33,0,1
oneshot,cirq_34,cirq,34,0,1
oneshot,cirq_35,cirq,35,1,1
oneshot,cirq_36,cirq,36,0,1
oneshot,cirq_37,cirq,37,1,1
oneshot,cirq_39,cirq,39,1,1
oneshot,cirq_40,cirq,40,0,1
oneshot,cirq_41,cirq,41,0,1
oneshot,cirq_42,cirq,42,1,1
oneshot,cirq_43,cirq,43,0,1
oneshot,cirq_44,cirq,44,1,1
oneshot,pennylane_01,pennylane,01,1,1
oneshot,pennylane_02,pennylane,02,1,1
oneshot,pennylane_03,pennylane,03,0,1
oneshot,pennylane_04,pennylane,04,0,1
oneshot,pennylane_06,pennylane,06,0,1
oneshot,pennylane_07,pennylane,07,0,1
oneshot,pennylane_08,pennylane,08,0,1
oneshot,pennylane_09,pennylane,09,0,1
oneshot,pennylane_10,pennylane,10,0,1
oneshot,pennylane_11,pennylane,11,0,1
oneshot,pennylane_12,pennylane,12,1,1
oneshot,pennylane_13,pennylane,13,1,1
oneshot,pennylane_14,pennylane,14,1,1
oneshot,pennylane_15,pennylane,15,0,1
oneshot,pennylane_16,pennylane,16,1,1
oneshot,pennylane_17,pennylane,17,1,1
oneshot,pennylane_18,pennylane,18,1,1
oneshot,pennylane_19,pennylane,19,1,1
oneshot,pennylane_20,pennylane,20,0,1
oneshot,pennylane_21,pennylane,21,1,1
oneshot,pennylane_22,pennylane,22,1,1
oneshot,pennylane_23,pennylane,23,1,1
oneshot,pennylane_24,pennylane,24,1,1
oneshot,pennylane_25,pennylane,25,0,1
oneshot,pennylane_26,pennylane,26,0,1
oneshot,pennylane_27,pennylane,27,1,1
oneshot,pennylane_28,pennylane,28,1,1
oneshot,pennylane_29,pennylane,29,0,1
oneshot,pennylane_30,pennylane,30,1,1
oneshot,pennylane_31,pennylane,31,0,1
oneshot,pennylane_32,pennylane,32,1,1
oneshot,pennylane_33,pennylane,33,1,1
oneshot,pennylane_34,pennylane,34,1,1
oneshot,pennylane_35,pennylane,35,1,1
oneshot,pennylane_36,pennylane,36,0,1
oneshot,pennylane_37,pennylane,37,1,1
oneshot,pennylane_39,pennylane,39,1,1
oneshot,pennylane_40,pennylane,40,0,1
oneshot,pennylane_41,pennylane,41,0,1
oneshot,pennylane_42,pennylane,42,1,1
oneshot,pennylane_43,pennylane,43,0,1
oneshot,pennylane_44,pennylane,44,0,1
oneshot,qiskit_01,qiskit,01,1,1
oneshot,qiskit_02,qiskit,02,1,1
oneshot,qiskit_03,qiskit,03,1,1
oneshot,qiskit_04,qiskit,04,0,1
oneshot,qiskit_06,qiskit,06,1,1
oneshot,qiskit_07,qiskit,07,0,1
oneshot,qiskit_08,qiskit,08,0,1
oneshot,qiskit_09,qiskit,09,0,1
oneshot,qiskit_10,qiskit,10,0,1
oneshot,qiskit_11,qiskit,11,0,1
oneshot,qiskit_12,qiskit,12,0,1
oneshot,qiskit_13,qiskit,13,1,1
oneshot,qiskit_14,qiskit,14,1,1
oneshot,qiskit_15,qiskit,15,1,1
oneshot,qiskit_16,qiskit,16,1,1
oneshot,qiskit_17,qiskit,17,1,1
oneshot,qiskit_18,qiskit,18,1,1
oneshot,qiskit_19,qiskit,19,1,1
oneshot,qiskit_20,qiskit,20,0,1
oneshot,qiskit_21,qiskit,21,1,1
oneshot,qiskit_22,qiskit,22,1,1
oneshot,qiskit_23,qiskit,23,1,1
oneshot,qiskit_24,qiskit,24,1,1
oneshot,qiskit_25,qiskit,25,0,1
oneshot,qiskit_26,qiskit,26,0,1
oneshot,qiskit_27,qiskit,27,1,1
oneshot,qiskit_28,qiskit,28,1,1
oneshot,qiskit_29,qiskit,29,0,1
oneshot,qiskit_30,qiskit,30,1,1
oneshot,qiskit_31,qiskit,31,0,1
oneshot,qiskit_32,qiskit,32,1,1
oneshot,qiskit_33,qiskit,33,1,1
oneshot,qiskit_34,qiskit,34,1,1
oneshot,qiskit_35,qiskit,35,1,1
oneshot,qiskit_36,qiskit,36,1,1
oneshot,qiskit_37,qiskit,37,1,1
oneshot,qiskit_39,qiskit,39,1,1
oneshot,qiskit_40,qiskit,40,0,1
oneshot,qiskit_41,qiskit,41,0,1
oneshot,qiskit_42,qiskit,42,1,1
oneshot,qiskit_43,qiskit,43,0,1
oneshot,qiskit_44,qiskit,44,1,1
feedback,cirq_01,cirq,01,1,1
feedback,cirq_02,cirq,02,1,1
feedback,cirq_03,cirq,03,1,2
feedback,cirq_04,cirq,04,0,6
feedback,cirq_06,cirq,06,1,1
feedback,cirq_07,cirq,07,1,2
feedback,cirq_08,cirq,08,0,6
feedback,cirq_09,cirq,09,1,2
feedback,cirq_10,cirq,10,1,4
feedback,cirq_11,cirq,11,1,2
feedback,cirq_12,cirq,12,1,1
feedback,cirq_13,cirq,13,1,1
feedback,cirq_14,cirq,14,1,1
feedback,cirq_15,cirq,15,1,1
feedback,cirq_16,cirq,16,1,1
feedback,cirq_17,cirq,17,1,1
feedback,cirq_18,cirq,18,1,1
feedback,cirq_19,cirq,19,1,1
feedback,cirq_20,cirq,20,1,2
feedback,cirq_21,cirq,21,1,1
feedback,cirq_22,cirq,22,1,1
feedback,cirq_23,cirq,23,1,1
feedback,cirq_24,cirq,24,1,1
feedback,cirq_25,cirq,25,0,6
feedback,cirq_26,cirq,26,0,6
feedback,cirq_27,cirq,27,1,1
feedback,cirq_28,cirq,28,1,1
feedback,cirq_29,cirq,29,0,6
feedback,cirq_30,cirq,30,1,1
feedback,cirq_31,cirq,31,0,6
feedback,cirq_32,cirq,32,1,1
feedback,cirq_33,cirq,33,1,2
feedback,cirq_34,cirq,34,1,2
feedback,cirq_35,cirq,35,1,1
feedback,cirq_36,cirq,36,1,4
feedback,cirq_37,cirq,37,1,1
feedback,cirq_39,cirq,39,1,1
feedback,cirq_40,cirq,40,1,2
feedback,cirq_41,cirq,41,0,6
feedback,cirq_42,cirq,42,1,1
feedback,cirq_43,cirq,43,0,6
feedback,cirq_44,cirq,44,1,1
feedback,pennylane_01,pennylane,01,1,1
feedback,pennylane_02,pennylane,02,1,1
feedback,pennylane_03,pennylane,03,1,6
feedback,pennylane_04,pennylane,04,0,6
feedback,pennylane_06,pennylane,06,1,3
feedback,pennylane_07,pennylane,07,1,3
feedback,pennylane_08,pennylane,08,0,6
feedback,pennylane_09,pennylane,09,1,3
feedback,pennylane_10,pennylane,10,0,6
feedback,pennylane_11,pennylane,11,1,3
feedback,pennylane_12,pennylane,12,1,1
feedback,pennylane_13,pennylane,13,1,1
feedback,pennylane_14,pennylane,14,1,1
feedback,pennylane_15,pennylane,15,0,6
feedback,pennylane_16,pennylane,16,1,1
feedback,pennylane_17,pennylane,17,1,1
feedback,pennylane_18,pennylane,18,1,1
feedback,pennylane_19,pennylane,19,1,1
feedback,pennylane_20,pennylane,20,0,6
feedback,pennylane_21,pennylane,21,1,1
feedback,pennylane_22,pennylane,22,1,1
feedback,pennylane_23,pennylane,23,1,1
feedback,pennylane_24,pennylane,24,1,1
feedback,pennylane_25,pennylane,25,0,6
feedback,pennylane_26,pennylane,26,0,6
feedback,pennylane_27,pennylane,27,1,1
feedback,pennylane_28,pennylane,28,1,1
feedback,pennylane_29,pennylane,29,0,6
feedback,pennylane_30,pennylane,30,1,1
feedback,pennylane_31,pennylane,31,0,6
feedback,pennylane_32,pennylane,32,1,1
feedback,pennylane_33,pennylane,33,1,1
feedback,pennylane_34,pennylane,34,1,1
feedback,pennylane_35,pennylane,35,1,1
feedback,pennylane_36,pennylane,36,0,6
feedback,pennylane_37,pennylane,37,1,1
feedback,pennylane_39,pennylane,39,1,1
feedback,pennylane_40,pennylane,40,1,2
feedback,pennylane_41,pennylane,41,1,5
feedback,pennylane_42,pennylane,42,1,1
feedback,pennylane_43,pennylane,43,0,6
feedback,pennylane_44,pennylane,44,1,2
feedback,qiskit_01,qiskit,01,1,1
feedback,qiskit_02,qiskit,02,1,1
feedback,qiskit_03,qiskit,03,1,1
feedback,qiskit_04,qiskit,04,1,3
feedback,qiskit_06,qiskit,06,1,1
feedback,qiskit_07,qiskit,07,1,2
feedback,qiskit_08,qiskit,08,0,6
feedback,qiskit_09,qiskit,09,1,2
feedback,qiskit_10,qiskit,10,1,5
feedback,qiskit_11,qiskit,11,1,5
feedback,qiskit_12,qiskit,12,1,2
feedback,qiskit_13,qiskit,13,1,1
feedback,qiskit_14,qiskit,14,1,1
feedback,qiskit_15,qiskit,15,1,1
feedback,qiskit_16,qiskit,16,1,1
feedback,qiskit_17,qiskit,17,1,1
feedback,qiskit_18,qiskit,18,1,1
feedback,qiskit_19,qiskit,19,1,1
feedback,qiskit_20,qiskit,20,0,6
feedback,qiskit_21,qiskit,21,1,1
feedback,qiskit_22,qiskit,22,1,1
feedback,qiskit_23,qiskit,23,1,1
feedback,qiskit_24,qiskit,24,1,1
feedback,qiskit_25,qiskit,25,0,6
feedback,qiskit_26,qiskit,26,0,6
feedback,qiskit_27,qiskit,27,1,1
feedback,qiskit_28,qiskit,28,1,1
feedback,qiskit_29,qiskit,29,0,6
feedback,qiskit_30,qiskit,30,1,1
feedback,qiskit_31,qiskit,31,0,6
feedback,qiskit_32,qiskit,32,1,1
feedback,qiskit_33,qiskit,33,1,1
feedback,qiskit_34,qiskit,34,1,1
feedback,qiskit_35,qiskit,35,1,1
feedback,qiskit_36,qiskit,36,1,1
feedback,qiskit_37,qiskit,37,1,1
feedback,qiskit_39,qiskit,39,1,1
feedback,qiskit_40,qiskit,40,1,2
feedback,qiskit_41,qiskit,41,0,6
feedback,qiskit_42,qiskit,42,1,1
feedback,qiskit_43,qiskit,43,0,6
feedback,qiskit_44,qiskit,44,1,1
restart,cirq_01,cirq,01,1,1
restart,cirq_02,cirq,02,1,1
restart,cirq_03,cirq,03,1,2
restart,cirq_04,cirq,04,1,4
restart,cirq_06,cirq,06,1,1
restart,cirq_07,cirq,07,1,2
restart,cirq_08,cirq,08,0,6
restart,cirq_09,cirq,09,1,2
restart,cirq_10,cirq,10,1,2
restart,cirq_11,cirq,11,1,2
restart,cirq_12,cirq,12,1,1
restart,cirq_13,cirq,13,1,1
restart,cirq_14,cirq,14,1,1
restart,cirq_15,cirq,15,1,1
restart,cirq_16,cirq,16,1,1
restart,cirq_17,cirq,17,1,1
restart,cirq_18,cirq,18,1,1
restart,cirq_19,cirq,19,1,1
restart,cirq_20,cirq,20,1,2
